Az ingatlan helye,"Családi ház átlagár, ezer Ft/m²",Családi ház átlagár darab,"Többlakásos társasház átlagár, ezer Ft/m²",Többlakásos társasház darab,"Lakótelepi panel átlagár, ezer Ft/m²",Lakótelepi panel darab,"Lakások összesen átlagár, ezer Ft/m²",Lakások összesen darab,"Lakások összesen relatív szórás, %",Év,Kerület
Örs vezér tere,,,325.0,5.0,269.0,14.0,284,19,27,2016,14
Örs vezér útja,,,,,,,391,3,5,2016,14
Öv utca,,,383.0,23.0,,,388,24,30,2016,14
Padlizsán utca,,,374.0,4.0,380.0,20.0,379,24,18,2016,14
Paskál utca,,,342.0,5.0,,,342,5,18,2016,14
Pétervárad utca,,,388.0,4.0,,,388,4,16,2016,14
Pillangó park,,,,,306.0,44.0,306,44,15,2016,14
Pitvar utca,,,282.0,3.0,,,295,4,31,2016,14
Rákosfalva park,,,,,281.0,17.0,281,17,19,2016,14
Rákospatak park,,,348.0,22.0,,,340,25,27,2016,14
Rákosszeg park,,,302.0,4.0,,,302,4,20,2016,14
Ráskay Lea utca,,,513.0,5.0,,,480,6,19,2016,14
Répásy Mihály utca,,,361.0,19.0,,,361,19,18,2016,14
Róna park,,,246.0,5.0,,,246,5,19,2016,14
Róna utca,,,367.0,60.0,,,367,60,18,2016,14
Rózsavölgyi tér,,,351.0,3.0,,,351,3,14,2016,14
Sarkantyú utca,,,,,307.0,4.0,307,4,10,2016,14
Sárköz utca,,,301.0,5.0,,,301,5,31,2016,14
Semsey Andor utca,,,358.0,13.0,,,358,13,20,2016,14
Stefánia út,,,365.0,29.0,,,365,29,28,2016,14
Szabács utca,,,310.0,6.0,,,310,6,18,2016,14
Szatmár utca,,,406.0,10.0,,,383,12,19,2016,14
Szederkény utca,,,326.0,7.0,,,326,7,18,2016,14
Szentes utca,,,492.0,3.0,,,492,3,9,2016,14
Szentmihályi út,,,,,297.0,95.0,297,95,13,2016,14
Szervián utca,,,352.0,12.0,,,352,12,18,2016,14
Szikszó park,,,326.0,11.0,,,326,11,15,2016,14
Szilágysomlyó utca,263.0,3.0,414.0,4.0,,,349,7,34,2016,14
Szitakötő utca,,,369.0,6.0,,,369,6,31,2016,14
Szobránc utca,,,330.0,9.0,,,330,9,15,2016,14
Szőnyi út,,,456.0,5.0,,,456,5,8,2016,14
Szugló utca,,,372.0,33.0,,,372,34,33,2016,14
Szuglói körvasút sor,,,458.0,5.0,,,430,6,24,2016,14
Tábornok utca,,,378.0,21.0,,,378,21,23,2016,14
Tallér utca,,,404.0,6.0,,,404,6,41,2016,14
Telepes utca,,,414.0,55.0,,,414,55,22,2016,14
Tengerszem köz,,,526.0,3.0,,,526,3,21,2016,14
Termál utca,,,499.0,5.0,,,499,5,11,2016,14
Thököly út,,,319.0,59.0,,,319,59,34,2016,14
Tihamér utca,,,481.0,3.0,,,481,3,56,2016,14
Tihany utca,,,,,296.0,39.0,296,39,17,2016,14
Törökőr utca,,,,,441.0,5.0,431,7,19,2016,14
Torontál utca,,,409.0,21.0,,,412,22,13,2016,14
Újváros park,,,,,295.0,15.0,295,15,17,2016,14
Újvidék utca,,,198.0,4.0,,,198,4,29,2016,14
Újvilág utca,,,354.0,15.0,,,354,15,22,2016,14
Ungvár utca,,,340.0,19.0,,,336,20,20,2016,14
Utász utca,,,313.0,10.0,,,313,10,27,2016,14
Uzsoki utca,,,374.0,16.0,,,374,16,12,2016,14
Várna utca,,,358.0,13.0,,,358,13,19,2016,14
Varsó utca,,,364.0,15.0,,,364,15,32,2016,14
Vezér utca,,,409.0,22.0,298.0,41.0,337,64,25,2016,14
Vezseny utca,,,406.0,3.0,,,406,3,37,2016,14
Wass Albert tér,,,339.0,3.0,,,339,3,16,2016,14
Zalán utca,,,368.0,3.0,,,368,3,17,2016,14
Zászlós utca,,,313.0,7.0,,,313,7,20,2016,14
Zsálya utca,,,,,290.0,6.0,315,8,18,2016,14
Zsigárd utca,,,490.0,3.0,,,490,3,11,2016,14
Zsivora park,,,,,301.0,16.0,301,16,12,2016,14
Zsolnay Vilmos utca,,,414.0,11.0,,,414,11,10,2016,14
együtt,360.0,112.0,364.0,2116.0,308.0,753.0,350,2981,28,2016,14
Adria utca,,,252.0,3.0,,,236,4,22,2016,15
Alkotmány utca,,,,,233.0,4.0,210,5,40,2016,15
Apolló utca,,,268.0,4.0,,,259,5,20,2016,15
Aporháza utca,,,425.0,3.0,,,425,3,36,2016,15
Arany János utca,,,302.0,7.0,,,302,7,18,2016,15
Árvavár utca,,,323.0,4.0,,,285,6,40,2016,15
Aulich Lajos utca,256.0,4.0,,,,,256,4,29,2016,15
Báthory utca,,,,,259.0,10.0,259,10,12,2016,15
Batthyány utca,180.0,3.0,206.0,4.0,,,195,7,39,2016,15
Beller Imre utca,213.0,4.0,302.0,6.0,,,273,12,35,2016,15
Bem utca,,,313.0,4.0,,,313,4,30,2016,15
Bercsényi Miklós utca,280.0,4.0,,,,,280,4,40,2016,15
Bethlen Gábor utca,284.0,3.0,270.0,10.0,,,273,13,27,2016,15
Bezerédj Pál utca,278.0,5.0,,,,,278,5,28,2016,15
Bezsilla Nándor utca,,,257.0,5.0,,,287,7,25,2016,15
Bocskai utca,214.0,3.0,236.0,15.0,,,232,18,41,2016,15
Csillagfürt utca,,,,,267.0,6.0,267,6,18,2016,15
Csobogós utca,,,,,249.0,24.0,249,24,21,2016,15
Csorvás utca,,,299.0,4.0,,,285,5,16,2016,15
Damjanich János utca,201.0,6.0,,,,,192,8,48,2016,15
Deák utca,,,298.0,3.0,,,298,3,21,2016,15
Dessewffy Arisztid utca,258.0,5.0,393.0,4.0,,,318,9,33,2016,15
Dobó utca,,,236.0,4.0,262.0,6.0,252,10,29,2016,15
Drégelyvár utca,,,,,265.0,88.0,265,88,22,2016,15
Énekes utca,,,,,,,305,3,13,2016,15
Eötvös utca,,,310.0,14.0,,,300,16,25,2016,15
Epres sor,,,251.0,7.0,,,251,7,15,2016,15
Erdőkerülő utca,,,,,283.0,78.0,283,78,21,2016,15
Fő út,,,,,,,303,3,33,2016,15
Illyés Gyula utca,,,314.0,15.0,263.0,4.0,303,19,17,2016,15
Ivánka Pál utca,,,,,,,202,3,23,2016,15
József Attila utca,,,375.0,3.0,,,361,4,16,2016,15
Kertköz utca,,,,,,,293,3,25,2016,15
Késmárk utca,,,,,275.0,14.0,275,14,12,2016,15
Kinizsi utca,,,201.0,4.0,,,201,4,47,2016,15
Kis Rákos utca,245.0,3.0,,,,,245,3,8,2016,15
Kolozsvár utca,,,250.0,9.0,,,250,9,19,2016,15
Kontyfa utca,,,,,239.0,14.0,239,14,18,2016,15
Kőrakás park,,,,,260.0,38.0,260,38,19,2016,15
Kossuth utca,,,,,253.0,14.0,253,14,26,2016,15
Legénybíró utca,,,,,282.0,14.0,282,14,23,2016,15
Lóvasút köz,,,,,,,244,3,22,2016,15
Mátyás utca,,,,,,,289,4,17,2016,15
Mézeskalács tér,,,,,266.0,35.0,266,35,14,2016,15
Molnár Viktor utca,,,314.0,4.0,,,378,6,35,2016,15
Mozdonyvezető utca,,,,,,,283,3,14,2016,15
Nádastó park,,,,,271.0,29.0,271,29,21,2016,15
Nádastó utca,223.0,3.0,312.0,4.0,,,274,7,44,2016,15
Népfelkelő utca,288.0,4.0,298.0,5.0,,,293,9,32,2016,15
Neptun utca,,,,,302.0,55.0,300,57,19,2016,15
Nyírpalota út,,,,,269.0,229.0,269,229,22,2016,15
Őrjárat utca,250.0,5.0,,,,,253,7,24,2016,15
Oroszlán utca,,,168.0,3.0,,,192,4,36,2016,15
Palánk utca,172.0,5.0,,,,,224,7,65,2016,15
Páskom park,,,,,279.0,50.0,279,50,18,2016,15
Páskomliget utca,,,,,258.0,134.0,258,134,22,2016,15
Pázmány Péter utca,,,287.0,3.0,,,261,4,24,2016,15
Pestújhelyi út,,,255.0,7.0,,,250,8,24,2016,15
Pöltenberg Ernő utca,313.0,5.0,,,,,283,6,46,2016,15
Pozsony utca,,,320.0,4.0,,,320,4,29,2016,15
Rákos út,238.0,4.0,246.0,26.0,,,251,32,24,2016,15
Rákospalotai körvasút sor,268.0,7.0,311.0,3.0,,,281,10,37,2016,15
Régi Fóti út,,,,,255.0,6.0,258,8,22,2016,15
Sárfű utca,,,,,274.0,32.0,274,32,20,2016,15
Széchenyi út,,,278.0,6.0,,,263,9,15,2016,15
Szent Korona útja,,,265.0,15.0,276.0,4.0,268,19,21,2016,15
Szerencs utca,235.0,5.0,297.0,12.0,,,278,17,34,2016,15
Szilas park,,,313.0,24.0,266.0,5.0,305,29,19,2016,15
Szlacsányi Ferenc utca,,,,,,,268,4,17,2016,15
Szűcs István utca,,,281.0,3.0,,,281,3,19,2016,15
Tompa Mihály utca,,,,,,,237,3,5,2016,15
Törő utca,,,,,,,378,3,38,2016,15
Vácduka tér,,,,,257.0,13.0,257,13,11,2016,15
Vácegres utca,,,,,266.0,12.0,266,12,6,2016,15
Vág utca,294.0,5.0,,,,,294,5,10,2016,15
Vörösmarty utca,219.0,3.0,,,,,174,4,54,2016,15
Wesselényi utca,,,263.0,5.0,,,245,7,31,2016,15
Zsókavár utca,,,,,269.0,95.0,269,95,23,2016,15
együtt,260.0,177.0,279.0,310.0,269.0,1038.0,270,1525,25,2016,15
Ákos utca,,,306.0,3.0,,,306,3,20,2016,16
Alsómalom utca,,,385.0,3.0,,,385,3,36,2016,16
Andocs utca,243.0,3.0,,,,,243,3,16,2016,16
Attila utca,243.0,3.0,,,,,244,4,5,2016,16
Bányász utca,,,422.0,10.0,,,422,10,10,2016,16
Baross utca,295.0,3.0,368.0,3.0,,,331,6,29,2016,16
Bekecs utca,370.0,3.0,,,,,370,3,22,2016,16
Béla utca,248.0,3.0,,,,,298,4,57,2016,16
Bercsényi utca,357.0,3.0,,,,,330,4,32,2016,16
Borotvás utca,,,279.0,3.0,,,279,3,9,2016,16
Budapesti út,334.0,3.0,392.0,10.0,,,375,14,11,2016,16
Centenárium sétány,,,299.0,5.0,,,299,5,19,2016,16
Csipkés köz,,,301.0,4.0,,,301,4,18,2016,16
Csömöri út,291.0,7.0,296.0,4.0,,,293,11,23,2016,16
Cziráki utca,,,292.0,4.0,,,292,4,30,2016,16
Décsi József utca,,,330.0,3.0,,,330,3,18,2016,16
Diófa utca,370.0,3.0,,,,,370,3,25,2016,16
Diósy Lajos utca,,,262.0,3.0,,,262,3,42,2016,16
Edit utca,,,,,,,305,3,38,2016,16
Egyenes utca,,,264.0,6.0,,,264,6,22,2016,16
Enikő utca,,,255.0,7.0,,,255,7,16,2016,16
Farkashalom utca,340.0,3.0,,,,,340,3,36,2016,16
Felsőmalom utca,,,414.0,38.0,,,414,38,18,2016,16
Ferenc utca,,,388.0,3.0,,,450,4,28,2016,16
Futórózsa utca,,,289.0,25.0,285.0,4.0,289,29,18,2016,16
Gesztenye utca,,,400.0,11.0,,,400,11,17,2016,16
Géza utca,380.0,3.0,,,,,380,3,20,2016,16
Gizella tér,,,306.0,4.0,,,306,4,7,2016,16
Gordonka utca,283.0,3.0,,,,,283,3,32,2016,16
Gusztáv utca,344.0,5.0,,,,,344,5,39,2016,16
Guzsaly utca,269.0,5.0,,,,,269,5,26,2016,16
György utca,283.0,3.0,,,,,283,3,11,2016,16
Hangulat utca,,,,,,,307,3,45,2016,16
Hársfa utca,,,,,,,387,3,19,2016,16
Hunyadvár utca,,,318.0,11.0,,,302,13,21,2016,16
Huszár utca,434.0,3.0,,,,,423,4,15,2016,16
Irha utca,352.0,4.0,,,,,373,6,22,2016,16
János utca,256.0,3.0,,,,,256,3,55,2016,16
Jászhalom utca,316.0,4.0,,,,,312,5,14,2016,16
József utca,233.0,4.0,320.0,4.0,,,276,8,44,2016,16
Kendermag utca,,,,,,,312,3,21,2016,16
Kenéz utca,255.0,3.0,,,,,255,3,24,2016,16
Kerepesi út,,,283.0,4.0,,,283,4,7,2016,16
Kolozs köz,,,259.0,3.0,,,259,3,37,2016,16
Kolozs utca,,,286.0,8.0,,,286,8,15,2016,16
Koronafürt utca,,,322.0,7.0,,,322,7,22,2016,16
Lajos utca,237.0,3.0,,,,,237,3,18,2016,16
Lándzsa utca,,,342.0,15.0,,,337,16,16,2016,16
Linda tér,,,297.0,8.0,,,297,8,15,2016,16
Margit utca,,,256.0,7.0,,,266,9,23,2016,16
Mária utca,335.0,3.0,,,,,302,4,31,2016,16
Mátyásdomb tér,,,,,257.0,3.0,285,5,27,2016,16
Mészáros József utca,,,260.0,7.0,,,260,7,22,2016,16
Molnár István sétány,,,270.0,4.0,,,270,4,31,2016,16
Nefelejcs utca,,,328.0,3.0,,,301,4,23,2016,16
Nonn János utca,,,439.0,9.0,,,439,9,17,2016,16
Olga utca,,,284.0,15.0,265.0,4.0,280,19,14,2016,16
Olló utca,,,384.0,4.0,,,390,5,10,2016,16
Orsika tér,,,,,236.0,5.0,236,5,13,2016,16
Összefogás sétány,,,,,260.0,5.0,256,6,10,2016,16
Pálya utca,365.0,5.0,,,,,331,7,21,2016,16
Párta utca,362.0,3.0,,,,,362,3,15,2016,16
Perjés utca,,,,,,,230,3,50,2016,16
Pesti határút,242.0,3.0,,,,,242,3,15,2016,16
Rajka utca,,,287.0,3.0,,,287,3,29,2016,16
Rákosi út,261.0,7.0,307.0,3.0,,,275,10,23,2016,16
Rákospalotai határút,,,,,322.0,4.0,302,6,16,2016,16
Rezgőfű utca,,,322.0,4.0,,,322,4,12,2016,16
Rózsalevél utca,305.0,4.0,,,,,305,4,14,2016,16
Sasvár utca,287.0,3.0,365.0,4.0,,,332,7,31,2016,16
Simongát utca,263.0,3.0,,,,,263,3,36,2016,16
Szabadság utca,,,,,,,233,3,59,2016,16
Szalmarózsa tér,,,320.0,8.0,,,320,8,12,2016,16
Szalmarózsa utca,,,336.0,3.0,,,317,4,13,2016,16
Szénás utca,344.0,6.0,,,,,344,6,38,2016,16
Szent Imre utca,,,,,,,284,3,18,2016,16
Szent Korona utca,,,,,,,358,4,38,2016,16
Szérű utca,,,,,,,314,3,29,2016,16
Színjátszó utca,411.0,3.0,,,,,411,3,13,2016,16
Tavirózsa tér,,,278.0,5.0,,,278,5,10,2016,16
Tekla utca,,,280.0,5.0,,,280,5,16,2016,16
Thököly út,,,,,,,419,3,49,2016,16
Újszász utca,,,306.0,21.0,,,309,22,27,2016,16
Vágás utca,,,387.0,6.0,,,388,7,15,2016,16
Védő utca,,,296.0,6.0,,,296,6,13,2016,16
Veres Péter út,,,272.0,4.0,,,272,4,17,2016,16
Vidámvásár utca,,,,,,,172,3,18,2016,16
Vívó utca,,,325.0,8.0,,,325,8,8,2016,16
Zsélyi Aladár utca,,,296.0,14.0,,,300,15,11,2016,16
együtt,317.0,300.0,325.0,452.0,270.0,30.0,320,782,30,2016,16
501. utca,,,,,,,284,3,19,2016,17
512. utca,,,312.0,5.0,,,312,5,28,2016,17
513. utca,,,216.0,3.0,,,219,5,24,2016,17
538. utca,,,,,,,279,3,12,2016,17
Akácvirág utca,,,275.0,4.0,243.0,12.0,251,16,22,2016,17
Almásháza utca,262.0,3.0,,,,,262,3,22,2016,17
Anna utca,229.0,4.0,323.0,3.0,,,269,7,28,2016,17
Aranykút utca,295.0,4.0,,,,,295,4,7,2016,17
Battonya utca,194.0,3.0,,,,,174,4,39,2016,17
Bél Mátyás utca,161.0,4.0,,,,,161,4,28,2016,17
Bélavár utca,209.0,4.0,,,,,209,4,43,2016,17
Berzsenyi Dániel utca,239.0,4.0,,,,,262,5,34,2016,17
Borsó utca,,,,,277.0,20.0,275,22,27,2016,17
Csermely Károly utca,,,392.0,5.0,,,392,5,10,2016,17
Csillagmotor köz,,,382.0,3.0,,,356,5,14,2016,17
Csongrád utca,,,,,,,286,3,53,2016,17
Damjanich utca,344.0,3.0,,,,,344,3,31,2016,17
Dedics Ferenc utca,,,419.0,6.0,,,419,7,5,2016,17
Dobos István utca,323.0,3.0,,,,,323,3,5,2016,17
Döntő utca,314.0,3.0,,,,,314,3,6,2016,17
Egészségház utca,,,231.0,3.0,237.0,11.0,236,14,19,2016,17
Erzsébet körút,271.0,4.0,,,,,271,4,23,2016,17
Ferihegyi út,196.0,6.0,264.0,16.0,281.0,10.0,257,32,25,2016,17
Fodormenta utca,211.0,3.0,,,,,255,4,37,2016,17
Földeák utca,267.0,3.0,,,,,267,3,57,2016,17
Földműves utca,,,246.0,3.0,257.0,19.0,255,22,18,2016,17
Függőcinege utca,,,348.0,5.0,,,348,5,20,2016,17
Gombosi utca,223.0,3.0,,,,,246,4,19,2016,17
Gyeplős utca,175.0,4.0,,,,,175,4,50,2016,17
Gyökér utca,,,,,255.0,19.0,255,19,18,2016,17
Háromdobos utca,240.0,3.0,,,,,240,3,31,2016,17
Hegyalatti utca,,,386.0,8.0,,,386,8,9,2016,17
Hektár utca,264.0,4.0,,,,,264,4,44,2016,17
Horváth Ernő utca,,,377.0,5.0,,,377,5,18,2016,17
Irsa utca,277.0,6.0,,,,,277,6,21,2016,17
Kaszáló utca,,,236.0,7.0,257.0,33.0,253,40,15,2016,17
Katlan utca,174.0,3.0,,,,,174,3,46,2016,17
Kévekötő utca,244.0,6.0,,,,,244,6,32,2016,17
Kis utca,,,,,217.0,5.0,217,5,5,2016,17
Kisfaludy utca,324.0,3.0,,,,,324,3,35,2016,17
Koch Aladár utca,,,351.0,12.0,,,351,12,19,2016,17
Kopolya utca,,,,,,,269,3,30,2016,17
Kvasz András utca,,,379.0,16.0,,,379,16,11,2016,17
Lányi Antal utca,,,400.0,5.0,,,400,5,13,2016,17
Lemberg utca,282.0,7.0,,,,,282,7,20,2016,17
Napkelet utca,219.0,3.0,,,,,219,3,19,2016,17
Nemesbük utca,169.0,4.0,,,,,169,4,34,2016,17
Nyitány utca,,,,,,,178,3,29,2016,17
Ököl utca,,,274.0,4.0,,,302,5,31,2016,17
Ősrepülő utca,,,371.0,8.0,,,371,8,16,2016,17
Összefogás utca,,,256.0,4.0,,,256,4,5,2016,17
Pányva utca,386.0,3.0,,,,,386,3,45,2016,17
Péceli út,142.0,4.0,179.0,4.0,,,161,8,59,2016,17
Peregi út,190.0,3.0,,,,,190,3,27,2016,17
Pesti út,191.0,4.0,244.0,18.0,254.0,148.0,252,170,20,2016,17
Rákoskert sugárút,258.0,5.0,,,,,258,5,21,2016,17
Rákosmezei repülők útja,,,379.0,5.0,,,361,6,18,2016,17
Réti csík utca,,,329.0,11.0,,,329,11,9,2016,17
Sáránd utca,262.0,3.0,,,,,262,3,51,2016,17
Szabadság sugárút,281.0,5.0,,,,,281,5,41,2016,17
Szárazhegy út,,,313.0,9.0,,,313,9,17,2016,17
Szigetcsép utca,219.0,3.0,227.0,5.0,,,224,8,22,2016,17
Tabán utca,,,,,217.0,4.0,217,4,5,2016,17
Tálpatak utca,247.0,3.0,,,,,247,3,30,2016,17
Tanár utca,,,233.0,3.0,,,250,4,16,2016,17
Táncsics Mihály út,,,356.0,4.0,,,356,4,8,2016,17
Tisza István utca,203.0,3.0,,,,,203,3,22,2016,17
Tiszaörs utca,,,,,,,207,3,37,2016,17
Újlak utca,,,,,258.0,94.0,258,95,22,2016,17
Uszoda utca,,,330.0,5.0,,,309,6,19,2016,17
Vadkacsa utca,,,,,,,201,3,50,2016,17
XXI. utca,248.0,3.0,,,,,248,3,10,2016,17
Zimonyi utca,259.0,3.0,,,,,259,3,33,2016,17
Zsemlye Elemér utca,,,287.0,4.0,,,287,4,18,2016,17
együtt,250.0,381.0,305.0,266.0,256.0,375.0,266,1022,30,2016,17
Alacskai út,,,357.0,6.0,,,357,6,17,2016,18
Baross utca,,,226.0,14.0,,,226,14,31,2016,18
Barta Lajos utca,,,,,293.0,6.0,293,6,11,2016,18
Batthyány Lajos utca,250.0,6.0,,,,,250,6,56,2016,18
Benedekfalva utca,,,,,285.0,5.0,285,5,17,2016,18
Bercsényi Miklós utca,,,,,,,265,3,12,2016,18
Bókay Árpád utca,,,271.0,3.0,,,235,5,30,2016,18
Címer utca,305.0,3.0,,,,,316,5,26,2016,18
Csontváry Kosztka Tivadar utca,,,,,218.0,156.0,217,157,21,2016,18
Csörgőfa utca,,,396.0,6.0,299.0,4.0,358,10,19,2016,18
Darányi Ignác utca,,,270.0,3.0,,,242,5,29,2016,18
Dolgozó út,,,270.0,30.0,,,270,30,17,2016,18
Egressy Gábor utca,,,282.0,6.0,,,282,6,21,2016,18
Endrődi Sándor utca,,,386.0,5.0,,,386,5,14,2016,18
Építő utca,,,266.0,47.0,,,266,47,11,2016,18
Esze Tamás utca,,,261.0,4.0,,,297,5,40,2016,18
Fenyőfa utca,,,418.0,13.0,288.0,3.0,387,17,19,2016,18
Ferenc utca,,,225.0,3.0,,,225,3,10,2016,18
Fiatalság utca,,,281.0,4.0,,,281,4,12,2016,18
Fogaras utca,,,299.0,3.0,,,299,3,20,2016,18
Ganz Ábrahám utca,,,,,,,272,3,34,2016,18
Goroszló utca,,,,,238.0,4.0,238,4,15,2016,18
Gulner Gyula utca,,,296.0,11.0,,,296,11,24,2016,18
Haladás utca,,,417.0,8.0,,,417,8,10,2016,18
Halomi út,,,293.0,6.0,,,293,6,20,2016,18
Határ utca,,,,,,,320,3,23,2016,18
Havanna utca,,,,,229.0,188.0,229,188,21,2016,18
Hosszúház utca,,,249.0,15.0,,,249,15,17,2016,18
Juharos sor,,,,,248.0,13.0,252,14,22,2016,18
Kappel Emília utca,,,331.0,6.0,,,331,6,9,2016,18
Kele utca,,,276.0,9.0,,,276,9,11,2016,18
Kerékkötő út,,,422.0,3.0,,,422,3,27,2016,18
Kétújfalu utca,,,303.0,20.0,,,303,20,27,2016,18
Kézműves utca,,,273.0,19.0,,,273,19,26,2016,18
Kinizsi Pál utca,,,272.0,7.0,,,272,7,13,2016,18
Királyhágó út,,,348.0,71.0,,,345,72,16,2016,18
Kisfaludy utca,,,330.0,6.0,,,311,7,24,2016,18
Kiss Ernő utca,,,206.0,3.0,,,206,3,5,2016,18
Kolozsvár utca,,,265.0,3.0,,,265,3,23,2016,18
Kossuth Lajos utca,,,281.0,3.0,,,281,3,27,2016,18
Köztársaság útja,,,,,,,198,4,45,2016,18
Lakatos út,,,241.0,16.0,,,241,16,17,2016,18
Lenkei utca,,,278.0,3.0,,,278,3,11,2016,18
Margó Tivadar utca,,,338.0,11.0,276.0,21.0,300,33,16,2016,18
Mikszáth Kálmán utca,,,275.0,12.0,,,274,13,11,2016,18
Nefelejts utca,,,321.0,3.0,,,321,3,24,2016,18
Nyárfás sor,,,,,260.0,13.0,260,13,20,2016,18
Örs utca,,,344.0,4.0,,,344,4,19,2016,18
Péteri út,,,,,251.0,3.0,251,3,11,2016,18
Póth Irén utca,,,315.0,3.0,,,315,3,36,2016,18
Ráday Gedeon utca,,,346.0,26.0,,,340,27,15,2016,18
Reviczky Gyula utca,,,367.0,9.0,288.0,9.0,327,18,20,2016,18
Riesz Frigyes utca,,,278.0,8.0,,,278,8,21,2016,18
Sina Simon sétány,,,,,270.0,6.0,270,6,17,2016,18
Széchenyi István utca,,,,,,,206,4,36,2016,18
Szent Lőrinc sétány,,,339.0,18.0,,,339,18,20,2016,18
Thököly út,,,362.0,7.0,,,362,7,15,2016,18
Tinódi utca,,,250.0,5.0,,,241,7,14,2016,18
Tölgy utca,,,283.0,13.0,197.0,3.0,267,16,19,2016,18
Tövishát utca,,,,,255.0,13.0,255,13,14,2016,18
Üllői út,,,235.0,11.0,,,235,11,47,2016,18
Vándor Sándor utca,,,268.0,5.0,245.0,6.0,256,11,14,2016,18
Vikár Béla utca,,,217.0,5.0,,,217,5,13,2016,18
Zilah utca,,,265.0,3.0,,,265,3,5,2016,18
együtt,248.0,103.0,300.0,571.0,234.0,457.0,269,1131,27,2016,18
Áchim András utca,,,342.0,5.0,,,318,6,29,2016,19
Ady Endre út,,,234.0,9.0,220.0,14.0,225,23,25,2016,19
Álmos utca,,,366.0,12.0,,,366,12,31,2016,19
Arany János utca,,,,,251.0,18.0,255,20,12,2016,19
Árpád utca,,,,,234.0,11.0,253,13,27,2016,19
Artúr utca,,,,,213.0,3.0,213,3,29,2016,19
Baross utca,,,334.0,7.0,,,334,7,23,2016,19
Báthory utca,,,240.0,9.0,,,228,10,51,2016,19
Batthyány utca,,,278.0,4.0,241.0,15.0,246,20,17,2016,19
Bem utca,,,,,263.0,3.0,263,3,9,2016,19
Bercsényi utca,,,379.0,8.0,,,379,8,28,2016,19
Botond utca,,,376.0,3.0,,,376,3,30,2016,19
Corvin körút,,,317.0,6.0,287.0,20.0,295,27,15,2016,19
Csengő utca,,,249.0,3.0,,,249,3,18,2016,19
Csokonai utca,,,,,288.0,17.0,288,17,20,2016,19
Cukrász utca,,,253.0,3.0,,,253,3,37,2016,19
Deák Ferenc utca,,,,,266.0,6.0,266,6,19,2016,19
Dobó Katica utca,,,311.0,19.0,223.0,15.0,272,34,34,2016,19
Eötvös utca,,,,,252.0,17.0,252,17,22,2016,19
Esze Tamás utca,,,334.0,4.0,,,334,4,31,2016,19
Fő utca,,,,,239.0,13.0,239,14,10,2016,19
Gutenberg körút,,,262.0,4.0,,,262,4,7,2016,19
Háromszék utca,,,,,,,328,3,16,2016,19
Határ út,,,312.0,7.0,,,312,7,31,2016,19
Hungária út,,,287.0,12.0,,,287,12,22,2016,19
Hunyadi utca,,,240.0,4.0,236.0,7.0,237,11,24,2016,19
Irányi Dániel utca,,,,,237.0,8.0,215,10,34,2016,19
Jáhn Ferenc utca,,,,,230.0,25.0,230,25,31,2016,19
Jókai utca,,,,,262.0,20.0,262,22,15,2016,19
József Attila utca,,,313.0,18.0,275.0,12.0,297,30,24,2016,19
Kasza János utca,,,,,248.0,3.0,248,3,9,2016,19
Katica utca,,,,,,,292,3,21,2016,19
Kazinczy utca,,,,,258.0,18.0,258,18,20,2016,19
Kisfaludy utca,,,245.0,8.0,245.0,28.0,248,37,23,2016,19
Klapka utca,,,,,243.0,11.0,243,11,15,2016,19
Kós Károly tér,,,303.0,17.0,,,306,18,15,2016,19
Kosárfonó utca,,,,,260.0,26.0,260,26,22,2016,19
Kossuth Lajos utca,,,369.0,4.0,225.0,7.0,277,11,30,2016,19
Lehel utca,,,,,239.0,22.0,239,22,18,2016,19
Madarassy László utca,,,257.0,3.0,,,257,3,35,2016,19
Margit utca,,,289.0,3.0,,,289,3,23,2016,19
Mészáros Lőrinc utca,,,270.0,11.0,,,270,11,23,2016,19
Molnár József utca,,,210.0,3.0,225.0,3.0,218,6,19,2016,19
Nádasdy utca,,,299.0,3.0,,,274,4,35,2016,19
Nagykőrösi út,,,248.0,12.0,,,248,12,21,2016,19
Nagysándor József utca,,,,,246.0,22.0,246,22,22,2016,19
Pannónia út,,,278.0,22.0,,,278,22,21,2016,19
Petőfi utca,,,,,253.0,16.0,251,17,12,2016,19
Pincér utca,,,248.0,4.0,,,242,6,9,2016,19
Rákóczi utca,,,244.0,7.0,214.0,9.0,227,16,20,2016,19
Simonyi Zsigmond utca,,,,,267.0,7.0,267,7,12,2016,19
Széchenyi utca,,,,,248.0,18.0,248,18,10,2016,19
Szendrő köz,,,295.0,3.0,,,295,3,15,2016,19
Szigligeti utca,,,,,241.0,12.0,241,12,9,2016,19
Szondi tér,,,310.0,5.0,,,310,5,17,2016,19
Táncsics Mihály utca,,,,,265.0,9.0,247,11,34,2016,19
Temesvár utca,,,288.0,3.0,,,288,3,10,2016,19
Thököly utca,,,310.0,5.0,,,310,5,27,2016,19
Toldy utca,,,,,252.0,16.0,252,16,18,2016,19
Vak Bottyán utca,,,,,254.0,5.0,227,6,30,2016,19
Vas Gereben utca,,,248.0,6.0,,,233,7,23,2016,19
Vécsey utca,,,179.0,3.0,229.0,26.0,224,29,19,2016,19
Zalaegerszeg utca,,,255.0,13.0,,,253,14,24,2016,19
Zengő utca,,,,,219.0,3.0,219,3,21,2016,19
